Frame_chord,GSD,range_LiD_corr,foc_len,Individual_ID,analysis_number,Frame_area,Measurement,Photo_Quality,Fluke_Glare,Fluke_Positioning,Fluke_Depth,Water_Disturbance,Image_Quality,Total_Score
3617,0.003775171,13.66254267,8.730169867967046,sw22_201c,1,3617,1,2,2,2,0,1,1,6
3617,0.003775171,13.66254267,8.730169867967046,sw22_201c,2,3617,2,2,2,2,0,1,1,6
3617,0.003775171,13.66254267,8.730169867967046,sw22_201c,3,3617,3,2,2,2,0,1,1,6
4300,0.004183919,15.11917868,8.717115645,sw22_201c,4,4300,1,2,2,2,0,1,1,6
4300,0.004183919,15.11917868,8.717115645,sw22_201c,5,4300,2,2,2,2,0,1,1,6
4300,0.004183919,15.11917868,8.717115645,sw22_201c,6,4300,3,2,2,2,0,1,1,6
4926,0.004040324,14.60795353,8.721697192349747,sw22_201c,7,4926,1,3,3,3,0,0,1,7
4926,0.004040324,14.60795353,8.721697192349747,sw22_201c,8,4926,2,3,3,3,0,0,1,7
4926,0.004040324,14.60795353,8.721697192349747,sw22_201c,9,4926,3,3,3,3,0,0,1,7
4373,0.004054734,14.65927972,8.721237212,sw22_201d,1,4373,1,5,3,3,3,2,3,14
4373,0.004054734,14.65927972,8.721237212,sw22_201d,2,4373,2,5,3,3,3,2,3,14
4373,0.004054734,14.65927972,8.721237212,sw22_201d,3,4373,3,5,3,3,3,2,3,14
4510,0.004030606,14.57333392,8.722007449760506,sw22_201d,4,4510,1,5,3,3,3,2,2,13
4510,0.004030606,14.57333392,8.722007449760506,sw22_201d,5,4510,2,5,3,3,3,2,2,13
4510,0.004030606,14.57333392,8.722007449760506,sw22_201d,6,4510,3,5,3,3,3,2,2,13
4530,0.004049597,14.64098331,8.721401182833153,sw22_201d,7,4530,1,5,3,3,3,2,2,13
4530,0.004049597,14.64098331,8.721401182833153,sw22_201d,8,4530,2,5,3,3,3,2,2,13
4530,0.004049597,14.64098331,8.721401182833153,sw22_201d,9,4530,3,5,3,3,3,2,2,13
6549,0.00921383,20.27393619,3.61,sw19_253,1,6549,1,4,3,3,2,1,2,11
6549,0.00921383,20.27393619,3.61,sw19_253,2,6549,2,4,3,3,2,1,2,11
6549,0.00921383,20.27393619,3.61,sw19_253,3,6549,3,4,3,3,2,1,2,11
7245,,,3.61,sw19_253,4,7245,1,3,3,2,1,1,1,8
7245,,,3.61,sw19_253,5,7245,2,3,3,2,1,1,1,8
7245,,,3.61,sw19_253,6,7245,3,3,3,2,1,1,1,8
8156,0.007604759,16.73336608,3.61,sw19_253,7,8156,1,3,3,3,1,1,1,9
8156,0.007604759,16.73336608,3.61,sw19_253,8,8156,2,3,3,3,1,1,1,9
8156,0.007604759,16.73336608,3.61,sw19_253,9,8156,3,3,3,3,1,1,1,9
8918,0.006582363,14.48370657,3.61,sw19_253,10,8918,1,4,3,3,2,1,2,11
8918,0.006582363,14.48370657,3.61,sw19_253,11,8918,2,4,3,3,2,1,2,11
